CanonicalModelId,Brand,Model,PublicFamily,PrimaryCategory,Paddle,SpeedGeneration,Drive,Release,Hold,Forgiveness,Stability,Sensitivity,Glide,WeakWaves,PowerfulWaves,BeachBreak,PointBreak,ReefBreak,MinimumAbility,SourceMethod,PhysicalConfidence,BehaviourConfidence,ReviewRequired,ReviewNotes
7716,Channel Islands,big-happy,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7718,Channel Islands,bobby-quad,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7719,Channel Islands,bunny-chow,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7720,Channel Islands,ci-2-pro,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7721,Channel Islands,ci-fish,fish,traditional_fish,7,8,7,7,5,7,7,5,7,8,4,7,6,5,progressing,manufacturer_inference,medium,medium,False,
7722,Channel Islands,ci-mid,mid_length,mid_length,8,7,7,5,7,7,8,5,9,6,6,7,8,7,beginner,manufacturer_inference,medium,medium,False,
7723,Channel Islands,ci-mid-twin,mid_length,mid_length,8,7,7,5,7,7,8,5,9,6,6,7,8,7,beginner,manufacturer_inference,medium,medium,False,
7724,Channel Islands,ci-pro,daily_driver,hybrid_shortboard,8,8,8,8,6,8,8,8,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7725,Channel Islands,dumpster-diver,daily_driver,hybrid_shortboard,8,9,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
7726,Channel Islands,dumpster-diver-2,groveller,small_wave_shortboard,7,8,7,7,5,7,7,7,5,9,4,8,6,5,progressing,manufacturer_inference,medium,medium,False,
7728,Channel Islands,fever,performance_shortboard,performance_shortboard,5,7,8,8,8,4,4,9,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
7731,Channel Islands,g-skate,daily_driver,performance_twin,6,9,8,9,7,5,5,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,"Applied governed evidence rule: swallow. Curated public-family authority: The fast, skatey hybrid is a versatile alternative shortboard rather than a fish-first design."
7732,Channel Islands,girabbit,daily_driver,hybrid_shortboard,8,9,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
7733,Channel Islands,goldie,daily_driver,hybrid_shortboard,8,8,7,8,7,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7734,Channel Islands,happy,performance_shortboard,performance_shortboard,5,8,9,9,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
7735,Channel Islands,happy-everyday,daily_driver,performance_daily_driver,6,7,7,7,7,7,7,7,5,6,7,9,7,8,intermediate,manufacturer_inference,medium,medium,False,
7738,Channel Islands,mavs-gun,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7739,Channel Islands,mikey-february-shorty,performance_shortboard,performance_shortboard,5,8,9,9,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
7740,Channel Islands,neckbeard-2,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7741,Channel Islands,og-flyer,daily_driver,hybrid_shortboard,8,8,8,8,6,8,8,8,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7743,Channel Islands,rocket-wide,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7744,Channel Islands,rook-15,daily_driver,hybrid_shortboard,8,9,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
7745,Channel Islands,sampler,daily_driver,performance_fish,8,9,7,8,7,8,8,7,6,8,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,"Curated public-family authority: The Sampler is a hybrid shortboard intended for versatile everyday performance, not a fish. Reviewed public-family correction: Sampler is a hybrid shortboard, not a fish."
7746,Channel Islands,semi-pro-12,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7749,Channel Islands,the-new-flyer,daily_driver,hybrid_shortboard,8,8,8,9,6,8,8,8,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: vee.
7750,Channel Islands,the-peregrine,performance_shortboard,performance_shortboard,5,8,10,9,10,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: channels.
7751,Channel Islands,the-proton,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7752,Channel Islands,the-solution,daily_driver,hybrid_shortboard,10,8,7,8,6,8,9,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: paddle power.
7755,Channel Islands,twin-fin,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7756,Channel Islands,twin-pin,performance_shortboard,performance_twin,6,8,7,8,7,5,5,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,
7757,Channel Islands,two-happy,performance_shortboard,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Curated public-family authority: Its primary role remains high-performance surfing despite increased accessibility.
7759,Channel Islands,weirdo-ripper,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
8051,Chemistry Surfboards,B Side,performance_shortboard,performance_shortboard,5,9,9,9,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
8053,Chemistry Surfboards,Summertime Pt 2,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
8090,Chilli,A2,daily_driver,hybrid_shortboard,8,9,8,8,6,8,8,8,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
8092,Chilli,Blueprint,performance_shortboard,performance_shortboard,5,8,8,8,9,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rails. Applied governed evidence rule: single concave.
8093,Chilli,Blueprint Grom,performance_shortboard,performance_shortboard,5,9,9,9,9,2,2,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rails. Applied governed evidence rule: single concave.
8091,Chilli,BV2,groveller,groveller,10,10,7,8,5,9,10,5,6,10,3,8,5,4,beginner,explicit_manufacturer,high,high,False,Applied governed evidence rule: swallow. Applied governed evidence rule: full nose. Applied governed evidence rule: single concave.
8094,Chilli,Churro 2,daily_driver,daily_driver,7,7,7,7,7,8,8,7,5,6,6,9,7,7,progressing,manufacturer_inference,medium,medium,False,
8095,Chilli,FAD3R,daily_driver,hybrid_shortboard,10,8,8,8,7,8,9,8,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: paddle power.
8096,Chilli,Faded 2.0,step_up,step_up,9,8,10,5,10,4,6,8,6,3,10,5,9,10,intermediate,explicit_manufacturer,high,high,False,Applied governed evidence rule: rounded pin. Applied governed evidence rule: full nose. Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8097,Chilli,Faded 2.0 Gun,step_up,step_up,9,7,10,5,10,6,8,7,6,3,9,5,8,8,progressing,explicit_manufacturer,high,high,False,Applied governed evidence rule: pin tail. Applied governed evidence rule: paddle power. Applied governed evidence rule: vee.
8098,Chilli,Faded 2.0 Step Up,step_up,step_up,8,8,10,5,10,5,7,7,5,3,9,5,8,8,intermediate,explicit_manufacturer,high,high,False,Applied governed evidence rule: pin tail. Applied governed evidence rule: foam under the chest. Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8099,Chilli,Full Strength,mid_length,mid_length,10,7,8,4,9,8,10,5,10,6,7,6,8,7,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: rounded pin. Applied governed evidence rule: paddle power.
8100,Chilli,Grom +,performance_shortboard,performance_twin,6,8,7,8,7,6,6,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,
8101,Chilli,HKII,daily_driver,hybrid_shortboard,8,9,8,10,6,8,8,7,6,7,6,9,7,6,progressing,explicit_manufacturer,high,high,False,Applied governed evidence rule: swallow tail. Applied governed evidence rule: vee.
8102,Chilli,Mid Strength,mid_length,mid_length,9,9,7,6,7,8,9,5,10,6,6,6,8,7,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
8103,Chilli,Middy,mid_length,mid_length,8,8,7,5,7,7,8,5,9,6,6,7,8,7,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
8104,Chilli,Mini Bird,groveller,softboard,10,8,5,5,4,10,10,3,7,10,2,8,5,4,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rocker. Applied governed evidence rule: paddle power.
8105,Chilli,Peppa Twin,daily_driver,performance_twin,8,9,8,10,7,5,6,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow tail. Applied governed evidence rule: paddle power. Applied governed evidence rule: vee. Curated public-family authority: Its user-friendly 2-to-6-foot range and wave-count focus make versatility the primary role.
8106,Chilli,Piña Colada,groveller,groveller,9,9,7,8,5,8,9,5,5,8,3,8,5,4,beginner,explicit_manufacturer,high,high,False,Applied governed evidence rule: swallow tail. Applied governed evidence rule: wide nose.
8107,Chilli,Rare Bird EVO,daily_driver,hybrid_shortboard,7,7,7,8,6,7,7,7,5,8,6,8,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: vee.
8108,Chilli,Rare Bird EVO TT,mid_length,mid_length,9,7,7,6,7,8,9,5,10,6,6,6,8,7,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: vee.
8109,Chilli,SHORTIE,daily_driver,hybrid_shortboard,8,9,9,7,8,8,8,8,6,7,7,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: rounded pin. Applied governed evidence rule: single concave.
8110,Chilli,SHORTIE SQUASH,performance_shortboard,performance_shortboard,5,9,9,9,8,4,4,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
8111,Chilli,SHORTIE YOUTH,performance_shortboard,performance_shortboard,5,9,10,8,10,4,4,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: rounded pin. Applied governed evidence rule: single concave.
8112,Chilli,Sugar,fish,performance_fish,9,9,8,8,7,7,8,7,5,7,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow. Applied governed evidence rule: paddle power.
8113,Chilli,Volume II,daily_driver,hybrid_shortboard,9,8,7,7,6,7,8,7,5,7,6,8,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: paddle power. Applied governed evidence rule: single concave.
8134,Christenson,Acid Phish,fish,performance_fish,8,9,7,8,7,8,8,7,6,8,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,
8135,Christenson,Cafe Racer,daily_driver,performance_daily_driver,6,7,7,8,8,6,6,9,5,6,7,9,7,8,intermediate,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rails. Applied governed evidence rule: vee.
8136,Christenson,Carrera,step_up,step_up,7,7,9,5,9,6,7,7,6,3,8,5,8,8,intermediate,manufacturer_inference,medium,medium,False,
8137,Christenson,Easy Wind,daily_driver,hybrid_shortboard,9,9,7,9,6,8,8,7,6,9,5,8,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rocker. Applied governed evidence rule: vee.
8138,Christenson,Fish,fish,traditional_fish,8,9,7,8,5,8,8,5,8,9,4,7,6,5,progressing,manufacturer_inference,medium,medium,False,
8139,Christenson,Flat Tracker V2,mid_length,mid_length,9,7,7,5,7,8,9,5,10,6,6,6,8,7,beginner,manufacturer_inference,medium,medium,False,
8140,Christenson,Lane Splitter,performance_shortboard,performance_twin,6,9,8,9,7,5,5,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow tail.
8141,Christenson,Lane Splitter Swallow,performance_shortboard,performance_twin,7,10,8,10,7,6,6,8,6,6,7,8,7,8,intermediate,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow.
8142,Christenson,Long Phish II,mid_length,performance_mid_length,8,8,8,7,8,7,8,7,9,6,8,6,8,8,intermediate,manufacturer_inference,medium,medium,False,
8143,Christenson,OP2,performance_shortboard,performance_shortboard,5,7,8,8,8,4,4,9,3,4,10,7,8,10,intermediate,governed_archetype_with_modifiers,low,low,True,Archetype-led record requires editorial review.
8144,Christenson,OP3,performance_shortboard,performance_shortboard,6,8,8,9,8,5,5,9,4,4,8,8,7,8,intermediate,manufacturer_inference,medium,medium,False,
8145,Christenson,OP4,performance_shortboard,performance_shortboard,6,8,8,9,8,5,5,9,4,4,8,8,7,8,intermediate,governed_archetype_with_modifiers,low,low,True,Archetype-led record requires editorial review.
8146,Christenson,Osprey,mid_length,performance_mid_length,8,7,8,6,8,7,8,7,9,4,8,6,8,8,intermediate,manufacturer_inference,medium,medium,False,
8148,Christenson,The Wolverine,mid_length,performance_mid_length,7,8,9,7,8,6,7,7,8,4,8,6,8,8,intermediate,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow tail.
7824,DHD,Black Diamond,daily_driver,daily_driver,9,7,7,7,7,7,8,7,5,6,6,8,7,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: paddle power.
7823,DHD,Black Diamond EPS,daily_driver,daily_driver,8,7,7,7,7,7,7,7,6,6,6,9,7,7,progressing,manufacturer_inference,medium,medium,False,
7807,DHD,Black Diamond Soft Top,daily_driver,daily_driver,10,7,7,7,7,8,9,7,6,6,6,9,7,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: paddle power.
7812,DHD,EE Juliette,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7809,DHD,EE Juliette Jnr,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7816,DHD,Interceptor,mid_length,mid_length,9,7,7,5,7,8,9,5,10,6,6,6,8,7,beginner,manufacturer_inference,medium,medium,False,
7805,DHD,MF Bolt,daily_driver,daily_driver,7,7,7,7,7,8,8,7,5,6,6,9,7,7,progressing,manufacturer_inference,medium,medium,False,
7801,DHD,MF DNA,performance_shortboard,performance_shortboard,5,7,8,8,8,4,4,9,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
7821,DHD,MF DNA Jnr,performance_shortboard,performance_shortboard,5,8,9,9,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
7802,DHD,MF Lightning,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7806,DHD,MF Twin,performance_shortboard,performance_twin,6,8,7,8,7,5,5,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,
7820,DHD,Mini Twin,fish,twin_pin,7,7,8,6,8,6,6,7,6,5,8,7,8,8,intermediate,manufacturer_inference,medium,medium,False,"Curated public-family authority: The short, rounded retro-inspired twin is designed primarily for one-to-four-foot surf."
7811,DHD,Mini Twin II,daily_driver,hybrid_shortboard,8,9,9,9,7,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow tail. Applied governed evidence rule: channels.
7814,DHD,Nexus,daily_driver,hybrid_shortboard,7,7,7,7,6,7,7,7,5,7,6,8,7,6,progressing,manufacturer_inference,medium,medium,False,
7813,DHD,Nexus EPS,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7822,DHD,Phoenix,daily_driver,performance_daily_driver,6,7,7,7,7,7,7,7,5,6,7,8,7,8,intermediate,manufacturer_inference,medium,medium,False,
7817,DHD,Phoenix EPS Swallow Tail,daily_driver,hybrid_shortboard,7,7,7,7,6,7,7,7,5,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7810,DHD,Phoenix Flight EPS,step_up,step_up,7,7,10,5,9,4,5,8,6,3,10,5,9,10,intermediate,manufacturer_inference,medium,medium,False,
7818,DHD,Sandman,step_up,step_up,6,7,9,5,9,5,6,7,5,4,8,5,8,8,intermediate,manufacturer_inference,medium,medium,False,
7815,DHD,SG No.8,step_up,step_up,6,7,10,5,9,4,5,8,5,3,10,5,9,10,intermediate,manufacturer_inference,medium,medium,False,
7804,DHD,Sweet Spot 4.0,step_up,step_up,6,7,9,5,9,5,6,7,5,3,8,5,8,8,intermediate,manufacturer_inference,medium,medium,False,
7819,DHD,The Twin,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7808,DHD,Utopia,performance_shortboard,performance_shortboard,5,7,8,8,8,4,4,9,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
3717,DMS Surfboards,Carny,daily_driver,daily_driver,7,7,7,7,7,7,7,7,5,6,6,9,7,7,progressing,manufacturer_inference,medium,medium,False,
3712,DMS Surfboards,Gherkin,daily_driver,hybrid_shortboard,9,9,7,9,6,8,8,7,6,9,5,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rocker. Applied governed evidence rule: vee.
3713,DMS Surfboards,Seahawk,daily_driver,hybrid_shortboard,9,9,7,9,6,8,8,7,6,9,5,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rocker. Applied governed evidence rule: vee.
3714,DMS Surfboards,Stilnox,daily_driver,hybrid_shortboard,7,8,7,8,8,7,7,10,6,5,7,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: more rocker. Applied governed evidence rule: refined rails.
3718,DMS Surfboards,Supercell,daily_driver,hybrid_shortboard,8,8,7,9,7,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: vee.
3716,DMS Surfboards,Thunderbird,daily_driver,hybrid_shortboard,9,9,7,9,6,8,8,7,6,9,5,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rocker. Applied governed evidence rule: vee.
3719,DMS Surfboards,X-Wing,daily_driver,hybrid_shortboard,8,8,8,8,7,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: channels.
3715,DMS Surfboards,Zephyr,daily_driver,hybrid_shortboard,9,9,7,9,6,8,8,7,6,9,5,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: low rocker. Applied governed evidence rule: vee.
7968,Firewire,Boss Up,mid_length,mid_length,8,7,7,5,7,7,8,5,9,6,6,7,8,7,beginner,manufacturer_inference,medium,medium,False,
7961,Firewire,Dominator 2.0,daily_driver,daily_driver,7,7,7,8,7,7,7,7,5,6,6,9,7,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: v out the tail.
7958,Firewire,Dominator Pro,daily_driver,daily_driver,7,8,7,8,7,7,7,7,5,6,8,8,8,8,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
7954,Firewire,DRK,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7959,Firewire,FRK Swallow,daily_driver,hybrid_shortboard,8,9,8,9,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow tail.
7970,Firewire,FRK+,performance_shortboard,performance_shortboard,5,8,9,9,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
7965,Firewire,Great White Twin,groveller,performance_twin,6,8,7,8,7,5,5,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,Curated public-family authority: High-performance grovelling and weak-wave speed generation are the explicit primary role.
7976,Firewire,Greedy Beaver,mid_length,mid_length,10,7,8,4,9,7,9,5,9,6,7,7,8,7,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: rounded pin. Applied governed evidence rule: paddle power.
7963,Firewire,Groove,performance_shortboard,performance_shortboard,4,8,9,9,9,3,3,10,3,2,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: more rocker.
7966,Firewire,Machadocado,fish,performance_fish,7,8,7,7,7,7,7,7,5,7,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,
7971,Firewire,Mashup,fish,performance_fish,7,8,7,7,7,7,7,7,5,8,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,
7956,Firewire,Mindcraft,performance_shortboard,performance_twin,6,8,7,8,7,5,5,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,
7960,Firewire,Neutrino,daily_driver,hybrid_shortboard,8,9,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
7964,Firewire,Revo Max,mid_length,mid_length,9,7,7,6,7,8,9,5,10,6,6,6,8,7,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: vee.
7967,Firewire,S Boss,daily_driver,hybrid_shortboard,8,8,7,8,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7973,Firewire,Sci-Fi 2.0,performance_shortboard,performance_shortboard,5,8,8,8,8,4,4,9,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
7972,Firewire,Seaside,fish,performance_fish,8,9,8,8,7,7,7,7,6,7,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow.
7978,Firewire,Seaside & Beyond,fish,performance_fish,8,9,7,8,7,8,8,7,6,8,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,
7979,Firewire,Singleton,longboard,longboard,10,8,7,6,6,9,10,4,10,6,5,6,8,6,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave.
7957,Firewire,Spaceship,daily_driver,hybrid_shortboard,8,8,8,8,6,8,8,8,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,
7980,Firewire,Special T,longboard,longboard,10,6,8,5,6,9,10,5,10,6,5,6,8,6,beginner,manufacturer_inference,medium,medium,False,
7969,Firewire,Sweet Potato,groveller,groveller,7,9,7,8,5,8,8,5,5,8,3,8,5,4,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: swallow.
7962,Firewire,Taylor Jensen Hull Rider,longboard,longboard,9,6,7,5,6,8,9,4,9,6,5,7,8,6,beginner,manufacturer_inference,medium,medium,False,
