CanonicalModelId,Brand,Model,CurrentPublicFamily,ProposedPublicFamily,PrimaryCategory,SecondaryCategories,ManufacturerIntent,DNAEvidence,WaveIntent,Rocker,Rails,Outline,PerformanceScore,ForgivenessScore,WeakWaveScore,PowerfulWaveScore,Changed,ChangeReason,Confidence,ReviewRequired
8125,Album,Plasmic,fish,fish,performance_fish,,"Flat and fast, the Plasmic combines the paddle and planing of a fish without sacrificing performance. Speed through your turns with a deep double concave and a filled in swallow tail allowing you to surf way back on the tail. Play Left Available Stock Right View all 5'3"" Plasmic $1,330 USD 5'5"" Plasmic (XTR) $1,130 USD 5'5"" Plasmic $1,230 USD 5'7"" Plasmic $1,230 USD 5'7"" Plasmic $1,230 USD 5'4"" Plasmic $1,230 USD Plasmic Applying these concepts to new designs has allowed the Plasmic to take on many forms, each of which offering a new feeling. Plasmic 6 products Plasmic (Asym) Plasmic (Mid) Pla","method=explicit_manufacturer; style=fast,drivey,responsive; roles=small_wave,daily_driver,reef_alternative","{""average_waves"":7,""beach_break"":7,""hollow_waves"":6,""open_face"":7,""point_break"":6,""powerful_waves"":6,""reef_break"":7,""weak_waves"":7}",entry=low;tail=medium,refined,balanced,7.5,7,7,6,False,Deterministic mapping from governed primary category performance_fish.,high,False
8126,Album,ProtoAtypical,performance_shortboard,performance_shortboard,performance_shortboard,alternative,"Drawing inspiration from the fin placement of our other asymmetrical designs, the ProtoAtypical blends the visual balance of a symmetrical board with the intuitive ease of an asymmetrical design. It features a performance-oriented entry and exit rocker, providing forgiving entries and smooth pivoting in tight pockets. The ProtoAtypical delivers all the advantages of a high-performance shortboard, with the added benefits of enhanced backhand responsiveness and increased drive on the forehand. Play Left Available Stock Right View all 5'10"" Protoatypical (Regular) $1,200 USD 5'9"" Protoatypical (R","method=manufacturer_inference; style=technical,sensitive,vertical,fast,drivey; roles=performance,competition","{""average_waves"":6,""beach_break"":7,""hollow_waves"":8,""open_face"":9,""point_break"":8,""powerful_waves"":10,""reef_break"":10,""weak_waves"":4}",entry=medium_high;tail=high,low_performance,narrow,9.25,4,4,10,False,Deterministic mapping from governed primary category performance_shortboard.,medium,False
8127,Album,Sunstone,fish,fish,traditional_fish,,"This is the purest form of a classic fish that we make, an ode to Southern California. It has traditional fish roots that have been refined to perform and feel more alive. Surfed with a classic approach, the board is doing all the work, trimming and generating speed with fast and fluid carves. Paddles and gets up to sp","method=manufacturer_inference; style=fast,flowing,loose; roles=small_wave,alternative_daily_driver","{""average_waves"":7,""beach_break"":7,""hollow_waves"":3,""open_face"":7,""point_break"":6,""powerful_waves"":4,""reef_break"":5,""weak_waves"":8}",entry=low;tail=low,full,wide_forward,6.0,7,8,4,False,Deterministic mapping from governed primary category traditional_fish.,medium,False
8128,Album,The End,mid_length,mid_length,mid_length,,"An all around option with surprising performance to go with the effortless flow and glide. Suitable for any style, a board that can do all the work while going on rail with ease. Play Left Available Stock Right View all The End Subtle rocker profile that’s flatter through center and exit, but with extra flip in the nose for a more forgiving feel on steeper turns and drops. The flatter rocker through center gives the board extra glide blending flow and performance. Mellow single concave under the front foot, transitioning to a slight double through the fins and accentuated vee off the tail. The","method=manufacturer_inference; style=glide,flowing,easy_paddle,fast,forgiving,stable; roles=mid_length,cruiser,point_break","{""average_waves"":8,""beach_break"":6,""hollow_waves"":4,""open_face"":8,""point_break"":8,""powerful_waves"":5,""reef_break"":7,""weak_waves"":8}",entry=medium_low;tail=medium_low,medium,curvy,6.5,8,8,5,False,Deterministic mapping from governed primary category mid_length.,medium,False
8129,Album,Townsend,step_up,step_up,step_up,"mid_length,performance_mid_length,alternative","A hybrid mid length/stepup that works in a wide variety of waves, with added efficiency from the asymmetrical tail. Has the appearance and paddle of an egg, but is much more dynamic in its turns and style of surfing you can do. The asym tail maximizes both frontside and backside surfing while allowing effortless rail t","method=manufacturer_inference; style=hold,drivey,powerful_wave; roles=step_up,travel,reef","{""average_waves"":6,""beach_break"":5,""hollow_waves"":8,""open_face"":8,""point_break"":8,""powerful_waves"":8,""reef_break"":8,""weak_waves"":3}",entry=medium_high;tail=high,refined,narrow,7.5,5,3,8,False,Deterministic mapping from governed primary category step_up.,medium,False
8130,Album,Twinsman,fish,performance_shortboard,performance_twin,,"The Twinsman offers the same performance as a shortboard combined with the effortless speed of a twin fin. Approachable for any style of surfing. A board that you can really push on rail or just enjoy the easy down the line speed. Paddles and gets up to speed faster than a standard performance board, but doesn’t have the limitations of a traditional twin. More pivot and drive off the bottom while fitting in tighter sections. Different variations allow this concept to be applied to any wave range. Play Left Available Stock Right View all 9'4"" Twinsman Mega $1,900 USD Twinsman Applying these con","method=manufacturer_inference; style=fast,technical,alternative_performance,drivey,sensitive; roles=performance,reef_alternative","{""average_waves"":8,""beach_break"":7,""hollow_waves"":6,""open_face"":8,""point_break"":7,""powerful_waves"":7,""reef_break"":8,""weak_waves"":6}",entry=medium;tail=medium_high,refined,narrow,8.25,5,6,7,True,Deterministic mapping from governed primary category performance_twin.,medium,False
8131,Album,VBSM,performance_shortboard,performance_shortboard,performance_shortboard,,"Album's values of speed, flow and ease injected into a more traditional high performance thruster outline. With some extra hidden foam and slight adjustments to the bottom and rail, this board allows maximum performance while maintaining speed, flow and style. Left Available Stock Right View all 5'8"" Vb Secret Menu $1,450 USD VBSM For anyone looking to dive deeper. Rocker Relaxed entry rocker for a performance board with a subtle curve throughout and extra rocker in the exit. Relaxed entry gives more surface area under your chest for paddling and down the line speed. Extra exit rocker allows f","method=manufacturer_inference; style=technical,sensitive,vertical,fast,drivey; roles=performance,competition","{""average_waves"":6,""beach_break"":7,""hollow_waves"":8,""open_face"":9,""point_break"":8,""powerful_waves"":10,""reef_break"":10,""weak_waves"":4}",entry=medium_high;tail=high,low_performance,narrow,9.25,3,4,10,False,Deterministic mapping from governed primary category performance_shortboard.,medium,False
8132,Album,Veebee,fish,fish,performance_fish,traditional_fish,"A performance fish with a bit of extra grip and speed. The bottom features a spiraling vee with a double-barrel concave set within it, which creates a great balance of speed generation and control, especially at higher speeds, while still being easy to get going. The deck carries a healthy amount of foam for solid paddle power, but the rails stay refined and performance-oriented, giving it a more modern feel despite the classic fish outline. The go-to fin option is the Fascination Twin. Play Left Available Stock Right View all 5'6"" Veebee Blunt $1,300 USD 5'3"" Veebee $1,300 USD 5'10"" Veebee $1","method=manufacturer_inference; style=fast,drivey,responsive,forgiving,stable; roles=small_wave,daily_driver,reef_alternative","{""average_waves"":9,""beach_break"":7,""hollow_waves"":6,""open_face"":7,""point_break"":6,""powerful_waves"":6,""reef_break"":7,""weak_waves"":8}",entry=medium_low;tail=medium,refined,balanced,7.5,8,8,6,False,Deterministic mapping from governed primary category performance_fish.,medium,False
8133,Album,Warp Twin,fish,performance_shortboard,performance_twin,,"For anyone looking to dive deeper. Relaxed entry rocker for a performance board with a subtle curve throughout and extra rocker in the exit. Relaxed entry gives more surface area under your chest for paddling and down the line speed. Extra exit rocker allows for more critical surfing by letting the board fit in steeper sections of the wave. Deep single concave under the front foot, transitioning into a slight double through the fins and vee off the tail, otherwise known as a spiral vee. The modern bottom generates speed, helps the board roll rail to rail and drive off your back foot. Rocker Pr","method=manufacturer_inference; style=fast,technical,alternative_performance; roles=performance,reef_alternative","{""average_waves"":8,""beach_break"":7,""hollow_waves"":6,""open_face"":8,""point_break"":7,""powerful_waves"":7,""reef_break"":8,""weak_waves"":6}",entry=medium;tail=medium_high,refined,narrow,7.75,5,6,7,True,Deterministic mapping from governed primary category performance_twin.,medium,False
7714,Channel Islands,average-joe,daily_driver,daily_driver,hybrid_shortboard,daily_driver,"Over the last six years and hundreds of stops on our demo tour we have learned a few things. One of those is that surfers sometimes want something simple, fun, and easy to ride. Light single concave for the first 1/3 to deepening concave vee throughout. The Joe can be surfed off the rail or tail that has Al's signature","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.25,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7715,Channel Islands,better-everyday,daily_driver,daily_driver,performance_daily_driver,daily_driver,"For 2025, we introduce the Better Everyday! The Happy Everyday quickly became one of our favorite boards and we found ourselves wondering…""how can we ride this even more""? Thankfully, Britt and team went to work. Keeping all the characteristics that make the HE a great stepdown performance board…in the Better Every","method=manufacturer_inference; style=responsive,drivey,everyday_performance; roles=daily_driver,performance","{""average_waves"":9,""beach_break"":9,""hollow_waves"":6,""open_face"":8,""point_break"":7,""powerful_waves"":7,""reef_break"":8,""weak_waves"":6}",entry=medium;tail=medium_high,refined,balanced,7.0,7,6,7,False,Deterministic mapping from governed primary category performance_daily_driver.,medium,False
7716,Channel Islands,big-happy,daily_driver,daily_driver,hybrid_shortboard,daily_driver,"The Big Happy is our solution for older or bigger surfers that value performance. Easiest way to think about it, Britt designed this board for himself being 6'6, 52 years old, and realizing his strength and mobility are not what they used to be…but he still thinks he can rip. Lower entry rocker Generous thickness forw","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.0,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7718,Channel Islands,bobby-quad,daily_driver,daily_driver,hybrid_shortboard,daily_driver,"Bobby Martinez challenged us to build him as short of a board as possible with the goal of maximizing his fun in Santa Barbara's tiny summer surf. He also added that it had to be a quad, and it still had to live up to his high-performance standards. Bobby's shortboards are 5'8"" but for this customized four-finner he wa","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.0,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7719,Channel Islands,bunny-chow,daily_driver,daily_driver,hybrid_shortboard,"daily_driver,performance_shortboard","The Bunny Chow has been Jordy Smith's board of choice for his World Tour campaigns in poor to fair surf. Designed around Jordy's large build and dynamic approach, the Bunny Chow is equally suited to be on rail or the air. Jordy rides his 6'1"" x 11.9"" x 19"" x 15.27"" x 2.5"" at 31.6L with 5.6"" of nose rocker and 2.03"" of","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.0,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7720,Channel Islands,ci-2-pro,daily_driver,daily_driver,hybrid_shortboard,daily_driver,"Meet the winning surfboard for the 2023 Stab in the Dark with Italo Ferreira, the CI 2.Pro! The 2.Pro boasts the same outline and bottom contours that won the 2022 SITD, with Jack Robinson, but utilizes a reduced overall rocker to better match the surfing style and waves we believed would be on offer for 2023. When","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.0,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7721,Channel Islands,ci-fish,fish,fish,traditional_fish,,"The all-new CI Fish is our Next Gen ""fish"" shape—thinned-out and tuned-up for added performance, making it a versatile craft that can energize your average grovel sesh one day then have you screaming down-the-line on clean, head high points the next. Our CI Fish's DNA can be traced back to 2005's Retro Fish, which two","method=manufacturer_inference; style=fast,flowing,loose; roles=small_wave,alternative_daily_driver","{""average_waves"":6,""beach_break"":7,""hollow_waves"":3,""open_face"":7,""point_break"":6,""powerful_waves"":4,""reef_break"":5,""weak_waves"":8}",entry=low;tail=low,full,wide_forward,6.0,7,8,4,False,Deterministic mapping from governed primary category traditional_fish.,medium,False
7722,Channel Islands,ci-mid,mid_length,mid_length,mid_length,performance_mid_length,"The CI Mid is a modern classic design resulting from a fun collaboration with Devon Howard, a southern California surfer that has spent the past two decades riding and refining egg-inspired designs that are in a category of boards many refer to as midlengths. Inspired by the clean, longer-railed lines drawn by traditio","method=manufacturer_inference; style=glide,flowing,easy_paddle,stable; roles=mid_length,cruiser,point_break","{""average_waves"":8,""beach_break"":7,""hollow_waves"":4,""open_face"":8,""point_break"":8,""powerful_waves"":6,""reef_break"":7,""weak_waves"":6}",entry=medium_low;tail=medium_low,medium,curvy,6.0,7,6,6,False,Deterministic mapping from governed primary category mid_length.,medium,False
7723,Channel Islands,ci-mid-twin,mid_length,mid_length,mid_length,,"Our original CI Mid debuted with the ever reliable 2-plus-1 fin set-up (big center fin, small sidebites). While it can also be enjoyed as a single-fin, the side-fin placement is too far forward to work properly as a twin. So, when updating our popular ""CI Mid"" to accommodate two fins, we once again worked with the Mid'","method=manufacturer_inference; style=glide,flowing,easy_paddle,stable; roles=mid_length,cruiser,point_break","{""average_waves"":8,""beach_break"":7,""hollow_waves"":4,""open_face"":8,""point_break"":8,""powerful_waves"":6,""reef_break"":7,""weak_waves"":6}",entry=medium_low;tail=medium_low,medium,curvy,6.0,7,6,6,False,Deterministic mapping from governed primary category mid_length.,medium,False
7724,Channel Islands,ci-pro,daily_driver,daily_driver,hybrid_shortboard,daily_driver,"Meet Stab in the Dark's 2022 season champ: the CI Pro. Britt's winning shortboard design, as seen under the feet of Jack Robinson, was made in collaboration with Parker Coffin. The most rockered board in our current line, the CI Pro is the pinnacle of high performance. The continuous rocker which is curviest beneath yo","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,drivey,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.5,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7725,Channel Islands,dumpster-diver,daily_driver,daily_driver,hybrid_shortboard,daily_driver,"Our board designs are direct results of team feedback, so when Dane showed up at the factory in early 2010 requesting a short wide epoxy with single concave and a huge square tail to make the summer bearable, the Dumpster Diver was born. When he came back a week later and wanted one with a narrower nose and a Rookie ta","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.0,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7726,Channel Islands,dumpster-diver-2,groveller,groveller,small_wave_shortboard,,"Dane Reynolds Breaksdown the Dumpster Diver 2 from CI Surfboards on Vimeo. The idea came when riding the original Dumpster Diver while filming ""Out of the Rafters"" and tripping out how how tiny and short the Dumpster Diver felt and wanting to build a longer - modernized version. The DD2 has a wider nose and tail, mor","method=manufacturer_inference; style=fast,responsive,small_wave_performance; roles=small_wave,step_down","{""average_waves"":7,""beach_break"":8,""hollow_waves"":3,""open_face"":6,""point_break"":6,""powerful_waves"":4,""reef_break"":5,""weak_waves"":9}",entry=medium_low;tail=medium_low,medium,balanced,6.5,7,9,4,False,Deterministic mapping from governed primary category small_wave_shortboard.,medium,False
7728,Channel Islands,fever,performance_shortboard,performance_shortboard,performance_shortboard,,"The Fever has its roots in Al Merrick's trusted and proven high-performance shortboard designs. The goal in designing this board with Mike Andrews and Patrick Gudauskas was to create a more accessible tour level performance board that anyone who jumped onto it would ""instantly feel the speed and zest for creativity."" B","method=manufacturer_inference; style=technical,sensitive,vertical,drivey; roles=performance,competition","{""average_waves"":7,""beach_break"":7,""hollow_waves"":8,""open_face"":9,""point_break"":8,""powerful_waves"":10,""reef_break"":10,""weak_waves"":4}",entry=medium_high;tail=high,low_performance,narrow,8.25,4,4,10,False,Deterministic mapping from governed primary category performance_shortboard.,medium,False
7731,Channel Islands,g-skate,fish,daily_driver,performance_twin,hybrid_shortboard,"The G Skate is built to inspire you with the signature Gudauskas brother energy – Pure stoke. This fast, skatey and responsive swallow-tailed hybrid design was born of a collaboration between Britt Merrick and the three Gudauskas brothers—Dane, Pat & Tanner. Their goal was to create something fresh feeling that tu","method=manufacturer_inference; style=fast,technical,alternative_performance,drivey; roles=performance,reef_alternative","{""average_waves"":8,""beach_break"":7,""hollow_waves"":6,""open_face"":8,""point_break"":7,""powerful_waves"":7,""reef_break"":8,""weak_waves"":6}",entry=medium;tail=medium_high,refined,narrow,8.0,5,6,7,True,"The fast, skatey hybrid is a versatile alternative shortboard rather than a fish-first design.",medium,False
7732,Channel Islands,girabbit,daily_driver,daily_driver,hybrid_shortboard,daily_driver,Jordy looks to his Girabbit design when the waves have some push. Best used as all-around shortboard for above average surf. Single concave throughout means the Girabbit works best when on rail. A fairly aggressive tail curve allows for tight radius turns. Ride this board your same height to 3″ longer than you are tall,"method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":9,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.0,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7733,Channel Islands,goldie,daily_driver,daily_driver,hybrid_shortboard,daily_driver,"The Goldie is designed for maximizing time in the barrel in steep, heavy waves. First ridden by Barron Mamiya to victory at the 2024 Pipe Pro and then on his rode to victory at the 2025 Pipe Pro, the board has been tested and proven by the team globally to be our best heavy wave and barrel board. Thickness forward and","method=manufacturer_inference; style=versatile,balanced,easy_performance,fast,forgiving,stable; roles=daily_driver,one_board_quiver","{""average_waves"":10,""beach_break"":9,""hollow_waves"":5,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":7}",entry=medium_low;tail=medium,medium,balanced,7.25,8,7,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
7734,Channel Islands,happy,performance_shortboard,performance_shortboard,performance_shortboard,,"The Happy is a new performance shortboard model built to give surfers the freedom to easily go wherever their mind takes them. Low entry rocker and strategically placed forward volume allow the board to paddle well, get up to speed quickly, and perform extremely well in the tube. To harness all that speed, Happy's refi","method=manufacturer_inference; style=technical,sensitive,vertical,fast,drivey; roles=performance,competition","{""average_waves"":6,""beach_break"":7,""hollow_waves"":8,""open_face"":9,""point_break"":8,""powerful_waves"":10,""reef_break"":10,""weak_waves"":4}",entry=low;tail=high,low_performance,narrow,9.0,3,4,10,False,Deterministic mapping from governed primary category performance_shortboard.,medium,False
7735,Channel Islands,happy-everyday,daily_driver,daily_driver,performance_daily_driver,"daily_driver,performance_shortboard","Created by Britt Merrick from what was initially the Two Happy performance shortboard model, our new Happy Everyday fills a need in every surfer's quiver: the everyday shortboard. Coming off the heels of CI's Pro Team loving the Two Happy, Britt wanted to draft off its performance attributes but modify it to address t","method=manufacturer_inference; style=responsive,drivey,everyday_performance; roles=daily_driver,performance","{""average_waves"":9,""beach_break"":9,""hollow_waves"":6,""open_face"":8,""point_break"":7,""powerful_waves"":7,""reef_break"":8,""weak_waves"":6}",entry=medium;tail=medium_high,refined,balanced,7.0,7,6,7,False,Deterministic mapping from governed primary category performance_daily_driver.,medium,False
