manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Simon Anderson,Mollusc,8087,https://simonandersonsurfboards.com/surfboards/mollusc,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Designed all-round surfing, retro style performance shape 2-5' surf. Rounder shape area nose, widish roundtail, good glide-on paddle speed, easy take-off.",,,"Rounder shape area nose, widish roundtail, good glide-on paddle speed, easy take-off.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,Mollusc Robo,8086,https://simonandersonsurfboards.com/surfboards/mollusc-robo,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"Ultimate wave catching assistance.Good speed & glide across wave. Roundtail vee & tailrocker helps cutback short turn arc, rebound off-the-top in smaller waves.","Roundtail vee & tailrocker helps cutback short turn arc, rebound off-the-top in smaller waves.",,"Roundtail vee & tailrocker helps cutback short turn arc, rebound off-the-top in smaller waves.",,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Simon Anderson,Nomad,8077,https://simonandersonsurfboards.com/surfboards/custom-only-boards/nomad/,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,This is not a chunky fat fish and you don't need a thick nose on a round nose plan-shape board so the thinner feel all over enhances the performance factor...,,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Simon Anderson,Nxfc,8088,https://simonandersonsurfboards.com/surfboards/nxfc,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"High performance, dependable board at the edge of performance parameters. Fast & loose but predictable. Rounded Squaretail, single-double concave.",,,"Rounded Squaretail, single-double concave.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,Spudnick,8078,https://simonandersonsurfboards.com/surfboards/custom-only-boards/spudnick/,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"Quad & Thruster option swallowtail fish surfboard waves up to 4 feet. Spudnick can surf up a bit as a Thruster. Area pointy nose, performance in rip-able waves.",,,Quad & Thruster option swallowtail fish surfboard waves up to 4 feet.,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Simon Anderson,Spudster,8079,https://simonandersonsurfboards.com/surfboards/custom-only-boards/spudster/,Groveller,Small Wave Performance,groveller,,Thruster | Five Fin,weak,,Intermediate | Advanced,high,moderate_small_wave,groveller | small_wave | weak_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin,Mapped from canonical taxonomy groveller.,"Quad option roundtail Thruster, short fat summer board blend of performance. Surf as quad to cut shorter sharper arcs on wave face, Thruster for carve feel.",,,"Quad option roundtail Thruster, short fat summer board blend of performance.",,low,high,proposed_for_owner_review,False,current primaryFamily=Groveller; \bgrovell?er\b,,
Simon Anderson,SXE3,8080,https://simonandersonsurfboards.com/surfboards/custom-only-boards/sxe3/,Step Up,Reef Step Up,step_up,daily_driver,Thruster,powerful,,Advanced | Expert,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy step_up.,"All-rounder as semi step-up, or good wave board. Medium rocker slightly more curve through middle feels good in hollow waves.",Medium rocker slightly more curve through middle feels good in hollow waves.,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Step Up; \bstep[ -]?up\b,,
Simon Anderson,T&T,8082,https://simonandersonsurfboards.com/surfboards/custom-only-boards/tt/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,Tight & Tiny - relatively narrow board with increased nose & tail area means the T&T plan shape will not be too curvy and will hold in well in a bit of power.,,,Tight & Tiny - relatively narrow board with increased nose & tail area means the T&T plan shape will not be too curvy and will hold in well in a bit of power.,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,Three Peat,8081,https://simonandersonsurfboards.com/surfboards/custom-only-boards/three-peat/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Three-Peat gives feel of 80's incorporating a blend of right now. Blended 80′s and 90′s style rails, flatter deck & original Thruster plan-shape, single flyer.","Blended 80′s and 90′s style rails, flatter deck & original Thruster plan-shape, single flyer.",,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,Varmit,8089,https://simonandersonsurfboards.com/surfboards/varmit,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,Normal length but wider nose on a wider board with a normal width rounded square. Single to double concave to vee at tail. Low soft modern rail and deck line.,Low soft modern rail and deck line.,,Single to double concave to vee at tail.,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,XFC,8083,https://simonandersonsurfboards.com/surfboards/custom-only-boards/xfc/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,Inception Simon surfboard model surfed by just about every Surfing World Champion from Shaun Tomson to Kelly Slater. All-round small wave high performance.,,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
